id;name;afm;establishment_year;phone
1;Isle;benchmark;2022-09-13;956-655-3804 x7370
2;Enterprise-wide Representative;teal reboot invoice;2022-09-13;644.880.2379 x10091
3;enable;Automotive;2022-09-13;639.704.5969 x472
4;Buckinghamshire SCSI Peso;architecture Awesome;2022-09-13;1-815-710-5159
5;Southern middleware;encompassing magnetic Grass-roots;2022-09-13;(794) 863-4415
6;Car;Bacon architectures;2022-09-13;864-622-2114 x0752
7;interactive local;Sausages Azerbaijanian;2022-09-14;1-775-627-4643 x86659
8;eco-centric Borders;Pants;2022-09-13;1-578-578-1676
9;bypassing Central mobile;Isle interface;2022-09-14;293.542.0510 x25572
10;harness Avon primary;Refined Personal;2022-09-13;(681) 646-7086
